,Unnamed: 0,id,original_title,release_date,runtime,genres,budget,revenue,vote_average,vote_count,popularity,overview,year,month,day,fixed_budget,fixed_revenue,fixed_gross
57,144,11286,The Cannonball Run,1981-06-19,95,"Action,Comedy",18000000,72179579,6.1,492,7.556,"A cross-country road race is based on an actual event, the Cannonball Baker Sea to Shining Sea Memorial Trophy Dash, organized by Brock Yates to protest the 55 mph speed limit then in effect in the U.S. The Cannonball was named for Erwin G. ""Cannonball"" Baker, who in the roaring 20's rode his motorcycle across the country. Many of the characters are based on ruses developed by real Cannonball racers over the several years that the event was run.",1981,6,19,58991452.85258681,236554346.194337,177562893.3417502
58,145,9443,Chariots of Fire,1981-05-15,123,"Drama,History",5500000,58972904,6.9,688,13.091,"In the class-obsessed and religiously divided UK of the early 1920s, two determined young runners train for the 1924 Paris Olympics. Eric Liddell, a devout Christian born to Scottish missionaries in China, sees running as part of his worship of God's glory and refuses to train or compete on the Sabbath. Harold Abrahams overcomes anti-Semitism and class bias, but neglects his beloved sweetheart in his single-minded quest.",1981,5,15,18025166.149401538,193272071.43867397,175246905.28927243
59,146,62204,La Guerre du feu,1981-12-16,100,"Adventure,Drama",12000000,55260558,7.0,388,6.143,"A colossal adventure odyssey that turns back the hands of time to the very beginning of man's existence. 80,000 years ago, when man roamed the earth, he was exposed to the many harsh elements of nature. Against the perilous atmosphere of rugged terrain, rival tribes and savage beasts, Quest for Fire examines a peaceful tribe's search for that all important element fire, and the knowledge to create it. Focusing on human dream as well as realistic insights into pre-historic man, the constant struggle for survival is vividly recreated in this sensational production.",1981,12,16,39327635.23505788,181105588.9924801,141777953.7574222
60,148,1103,Escape from New York,1981-05-23,99,"Fiction,Action",6000000,50244700,7.1,2502,12.26,"In the future, crime is out of control and New York City's Manhattan is a maximum security prison. Grabbing a bargaining chip right out of the air, convicts bring down the President's plane in bad old Gotham. Gruff Snake Plissken, a one-eyed lone warrior new to prison life, is coerced into bringing the President, and his cargo, out of this land of undesirables.",1981,5,23,19663817.61752894,164667102.84124282,145003285.22371387
61,149,130724,Hardly Working,1981-04-03,91,Comedy,3400000,49000000,4.5,18,2.062,"In Jerry Lewis's first film in a decade, he plays Bo Hooper, an unemployed circus clown who can't seem to hold down a job. The film opens with a brief montage of clips from past Lewis movies. He then moves into a succession of jobs that he gets himself fired from including a gas station attendant and a mailman - all with disastrous results.",1981,4,3,11142829.983266396,160587843.87648636,149445013.89321998
62,150,36819,Time Bandits,1981-07-13,116,"Family,Fantasy,Fiction,Adventure,Comedy",5000000,42365581,6.6,787,8.011,"Young history buff Kevin can scarcely believe it when six dwarfs emerge from his closet one night. Former employees of the Supreme Being, they've purloined a map charting all of the holes in the fabric of time and are using it to steal treasures from different historical eras. Taking Kevin with them, they variously drop in on Napoleon, Robin Hood and King Agamemnon before the Supreme Being catches up with them.",1981,7,13,16386514.681274123,138844843.0074416,122458328.3261675
63,151,10323,Clash of the Titans,1981-06-12,118,"Action,Adventure,Family,Fantasy",15000000,41092328,6.9,589,18.665,"To win the right to marry his love, the beautiful princess Andromeda, and fulfil his destiny, Perseus must complete various tasks including taming Pegasus, capturing Medusa's head, and battling the Kraken monster.",1981,6,12,49159544.04382241,134672007.21194637,85512463.16812396
64,152,19429,Absence of Malice,1981-11-19,116,"Drama,Romance,Thriller",12000000,40716963,6.7,150,8.037,"Megan Carter is a reporter duped into running an untrue story on Michael Gallagher, a suspected racketeer. He has an alibi for the time his crime was allegedly committed—but it involves an innocent party. When he tells Carter the truth and the newspaper runs it, tragedy follows, forcing Carter to face up to the responsibilities of her job when she is confronted by Gallagher.",1981,11,19,39327635.23505788,133441822.39527903,94114187.16022116
65,153,18254,Reds,1981-12-25,195,"Drama,History,Romance",35000000,40382659,7.0,248,6.563,"An account of the revolutionary years of the legendary American journalist John Reed, who shared his adventurous professional life with his radical commitment to the socialist revolution in Russia, his dream of spreading its principles among the members of the American working class, and his troubled romantic relationship with the writer Louise Bryant.",1981,12,25,114705602.76891886,132346206.91447736,17640604.145558506
66,156,10627,Taps,1981-12-20,126,"War,Drama",14000000,35856053,6.9,219,9.651,Military cadets take extreme measures to ensure the future of their academy when its existence is threatened by local condo developers.,1981,12,20,45882241.10756756,117511147.7794086,71628906.67184104
