,original_title,id,runtime,genres,budget,revenue,vote_average,vote_count,popularity,year,month,day,fixed_budget,fixed_revenue,fixed_gross,gross_factor,pop_factor,freshness_factor,runtime_factor,goodness_factor,predicted_goodness
64,Absence of Malice,19429,116,"Drama,Romance,Thriller",12000000,40716963,6.7,150,8.037,1981,11,19,39327635.23505788,133441822.39527903,94114187.16022116,8.966622119642091,5.525458452357034,0.0,5.859713920736208,5.087948623183833,7.07602617534666
65,Reds,18254,195,"Drama,History,Romance",35000000,40382659,7.0,248,6.563,1981,12,25,114705602.76891886,132346206.91447736,17640604.145558506,8.86470054874603,5.962360848345588,0.0,2.0376846115467924,4.216186502159603,7.5124985296997
66,Taps,10627,126,"War,Drama",14000000,35856053,6.9,219,9.651,1981,12,20,45882241.10756756,117511147.7794086,71628906.67184104,8.938954508088784,5.8514592976914335,0.0,4.649698314369313,4.860028030037383,7.134531100300368
67,Sharky's Machine,14664,122,"Crime,Drama,Action,Thriller",17500000,35610100,6.1,70,6.314,1981,12,18,57352801.38445943,116705085.29032794,59352283.90586851,8.923104922441649,4.841277809552224,0.0,5.018953956051916,4.695834172011447,7.0251794747152845
68,Excalibur,11527,140,"Adventure,Fantasy",11000000,34967437,7.0,785,15.709,1981,4,10,36050332.29880308,114598883.95340556,78548551.65460248,8.94765001354946,6.883375435105479,0.0,3.7849667546428,4.903998050824434,7.260740805231486
69,An American Werewolf in London,814,97,"Horror,Comedy",10000000,31973249,7.4,1874,27.847,1981,8,21,32773029.362548247,104786022.8293067,72012993.46675846,8.939441558918887,7.623314519145357,0.0,4.946821826697015,5.3773944761903145,7.040326937142415
70,History of the World: Part I,10156,92,Comedy,11000000,31672907,6.8,619,11.104,1981,6,12,36050332.29880308,103801711.11082602,67751378.81202294,8.934008015683517,6.670305269407082,0.0,4.516306680709556,5.030154991450039,7.131923824191938
71,Bustin' Loose,31361,94,"Comedy,Drama",11000000,31300000,5.8,36,3.695,1981,5,22,36050332.29880308,102579581.90477602,66529249.60597295,8.932437727442553,4.269442197207437,0.0,4.674067902962041,4.468986956903008,7.224890891524255
72,The Great Muppet Caper,14900,95,"Family,Crime,Comedy,Mystery,Music",14000000,31200000,6.8,228,5.895,1981,6,26,45882241.10756756,102251851.61115052,56369610.50358296,8.919169135612092,5.871981787885146,0.0,4.759539621348529,4.887672636211442,6.939401421924076
73,Neighbors,19507,94,Comedy,8500000,29916207,5.7,115,7.897,1981,12,18,27857074.95816602,98044473.04270716,70187398.08454114,8.937121891141404,5.183875605078939,0.0,4.674067902962041,4.698766349795596,7.037510672846553
74,The Fox and the Hound,10948,82,"Adventure,Animation,Drama,Family",12000000,29800000,7.1,2730,61.373,1981,7,10,39327635.23505788,97663627.50039376,58335992.26533588,8.921767704612279,7.890958092429319,0.0,3.899850667922252,5.178144116240962,7.002395298949448
75,The Evil Dead,764,85,Horror,350000,29400000,7.3,3067,49.214,1981,9,10,1147056.0276891892,96352706.32589182,95205650.29820263,8.96792315680852,8.006201590645789,0.0,4.062194167527979,5.259079728745572,7.237208656677657
76,Escape to Victory,17360,116,"Drama,War",10000000,27453418,6.8,721,11.586,1981,6,17,32773029.362548247,89973167.42163108,57200138.05908284,8.92026849132067,6.792227862697857,0.0,5.859713920736208,5.393052568688684,7.171084862572922
77,Private Lessons,41280,87,"Comedy,Romance",2800000,26279000,5.7,72,26.31,1981,8,21,9176448.221513512,86124243.86184049,76947795.64032698,8.945653199995617,4.809583598781739,0.0,4.179641981136561,4.483719694978479,7.271136052027265
78,Modern Problems,16471,89,"Comedy,Fiction,Romance",8000000,26154211,5.5,62,4.53,1981,12,25,26218423.4900386,85715272.50572824,59496849.01568964,8.923294818877498,4.661510657062191,0.0,4.306009760775681,4.472703809178842,7.351356462409903
79,Halloween II,11281,92,"Horror,Thriller",2500000,25533818,6.6,1575,20.151,1981,10,30,8193257.340637062,83682056.70519632,75488799.36455926,8.9438255357935,7.392927770685693,0.0,4.516306680709556,5.213264996797188,7.165127457059651
80,Mad Max 2,8810,96,"Adventure,Action,Thriller,Fiction",2000000,24600832,7.4,2965,24.821,1981,12,24,6554605.87250965,80624378.94791166,74069773.07540202,8.942040853246807,7.990041680609163,0.0,4.850202988915883,5.445571380692963,7.234418026191987
81,Body Heat,14412,113,"Crime,Thriller,Romance",9000000,24058838,7.1,429,20.752,1981,8,28,29495726.426293407,78848100.42027916,49352373.99398576,8.90977267503987,6.411745931994855,0.0,6.645092790656811,5.491652849422884,7.104756932849527
82,Friday the 13th Part 2,9725,87,"Horror,Thriller",1250000,21722776,6.1,1270,36.66,1981,5,1,4096628.670318531,71192117.56840585,67095488.89808732,8.93316595197754,7.157913798608719,0.0,4.179641981136561,5.067680432930706,7.129639112731135
83,Heavy Metal,11827,90,"Animation,Fiction,Adventure,Fantasy,Music",9300000,20100000,6.5,542,15.517,1981,8,7,30478917.307169866,65873789.01872199,35394871.71155213,8.890483875395407,6.528059421393645,0.0,4.373070830551557,4.947903531835152,7.149173120646096
