,id,original_title,release_date,runtime,genres,budget,revenue,vote_average,vote_count,popularity,overview
2980,784,Kolja,1996-05-15,105,"Music,Drama,Comedy",1031764,7566841,7.4,126,9.712,"After a fictitious marriage with a Russian emigrant, Cellisten Louka, a Czech man, must suddenly take responsibility for her son. However, it’s not long before the communication barrier is broken between the two new family members."
2981,20539,The Crucible,1996-11-27,124,"Drama,History",25000000,7343114,6.6,422,12.475,A Salem resident attempts to frame her ex-lover's wife for being a witch in the middle of the 1692 witchcraft trials.
2982,102353,चाहत,1996-06-06,155,"Drama,Romance",3000000,7100000,7.0,17,3.018,"Roop and his father come to the city for medical treatment where Reshma falls in love with Roop. However, Roop loves Pooja but when Reshma threatens to kill herself, Roop agrees to marry her."
2983,9303,Bound,1996-09-13,105,"Drama,Thriller",4500000,7011317,7.2,691,22.177,"Corky, a tough female ex-convict working on an apartment renovation in a Chicago building, meets a couple living next door, Caesar, a paranoid mobster, and Violet, his seductive girlfriend, who is immediately attracted to her."
2984,49471,Get on the Bus,1996-10-16,120,Drama,2400000,5731103,6.8,47,3.228,"Several Black men take a cross-country bus trip to attend the Million Man March in Washington, DC in 1995. On the bus are an eclectic set of characters including a laid-off aircraft worker, a man whose at-risk son is handcuffed to him, a black Republican, a former gangsta, a Hollywood actor, a cop who is of mixed racial background, and a white bus driver. All make the trek discussing issues surrounding the march, including manhood, religion, politics, and race."
2985,23570,The Pallbearer,1996-05-03,97,"Comedy,Romance",8000000,5656388,5.0,100,5.301,"Aspiring architect Tom Thompson is told by mysterious Ruth Abernathy that his best friend, ""Bill,"" has taken his own life. Except that Tom has never met Bill and neither have his incredulous friends. So when Tom foolishly agrees to give the eulogy at Bill's funeral, it sets him on a collision course with Ruth -- who is revealed to be Bill's oversexed mother -- and Julie DeMarco, the longtime crush Tom hasn't seen since they were teens."
2986,9431,Bordello of Blood,1996-08-16,87,"Horror,Comedy",15000000,5600000,5.9,292,42.349,"Private eye Rafe Guttman is hired by repressed, born-again Katherine to find her missing bad-boy brother. The trail leads him to a whorehouse run by a thousand-year-old vampire and secretly backed by Katherine's boss, televangelist Jimmy Current."
2987,11446,Welcome to the Dollhouse,1996-05-24,88,"Comedy,Drama",800000,5034794,7.2,328,7.974,An unattractive 7th grader struggles to cope with suburban life as the middle child with inattentive parents and bullies at school.
2988,36915,Heaven's Prisoners,1996-05-17,132,"Drama,Mystery,Thriller",25000000,5009305,5.2,64,5.406,"A hardened New Orleans cop, Dave Robicheaux, finally tosses in the badge and settles into life on the bayou with his wife. But a bizarre plane crash draws him back into the fray when his family is viciously threatened."
2989,61752,Girl 6,1996-03-22,108,"Comedy,Drama",12000000,4939939,5.0,90,6.189,A struggling actress in New York City takes a job as a phone sex operator.
2990,11962,Joe's Apartment,1996-07-26,78,"Comedy,Fantasy",13000000,4619014,5.5,273,10.271,"A nice guy has just moved to New York and discovers that he must share his run-down apartment with a couple thousand singing, dancing cockroaches."
2991,10218,Swingers,1996-10-18,96,Comedy,200000,4505922,6.9,584,14.701,"After 6 years together, Mike's girlfriend leaves him, so he travels to LA to be a star. Six months on, he's still not doing very well— so a few of his friends try to reconnect him to the social scene and hopefully help him forget his failed relationship."
