original_title,runtime,genres,budget,revenue,vote_average,vote_count,popularity,year,month,day,fixed_budget,fixed_revenue,fixed_gross,gross_factor,pop_factor,freshness_factor,runtime_factor,goodness_factor
History of the World: Part I,92,Comedy,11000000,31672907,6.8,619,11.104,1981,6,12,36050332.29880308,103801711.11082602,67751378.81202294,3.09018447883229,6.670305269407082,0.0,2.673904464568282,3.1085985532019134
Bustin' Loose,94,"Comedy,Drama",11000000,31300000,5.8,36,3.695,1981,5,22,36050332.29880308,102579581.90477602,66529249.60597295,3.084843345771912,4.269442197207437,0.0,2.8622110171854453,2.554124140041199
The Great Muppet Caper,95,"Family,Crime,Comedy,Mystery,Music",14000000,31200000,6.8,228,5.895,1981,6,26,45882241.10756756,102251851.61115052,56369610.50358296,3.0400789329507436,5.871981787885146,0.0,2.965046124366789,2.9692767113006697
Neighbors,94,Comedy,8500000,29916207,5.7,115,7.897,1981,12,18,27857074.95816602,98044473.04270716,70187398.08454114,3.100803291694332,5.183875605078939,0.0,2.8622110171854453,2.786722478489679
The Fox and the Hound,82,"Adventure,Animation,Drama,Family",12000000,29800000,7.1,2730,61.373,1981,7,10,39327635.23505788,97663627.50039376,58335992.26533588,3.0487943083423015,7.890958092429319,0.0,1.9574938938206707,3.2243115736480727
The Evil Dead,85,Horror,350000,29400000,7.3,3067,49.214,1981,9,10,1147056.0276891892,96352706.32589182,95205650.29820263,3.207826294355443,8.006201590645789,0.0,2.1430961496694803,3.3392810086676783
Escape to Victory,116,"Drama,War",10000000,27453418,6.8,721,11.586,1981,6,17,32773029.362548247,89973167.42163108,57200138.05908284,3.043763032147885,6.792227862697857,0.0,4.335979064537514,3.5429924898458136
Private Lessons,87,"Comedy,Romance",2800000,26279000,5.7,72,26.31,1981,8,21,9176448.221513512,86124243.86184049,76947795.64032698,3.13008372861017,4.809583598781739,0.0,2.278751101486535,2.554604607219611
Modern Problems,89,"Comedy,Fiction,Romance",8000000,26154211,5.5,62,4.53,1981,12,25,26218423.4900386,85715272.50572824,59496849.01568964,3.05392776893238,4.661510657062191,0.0,2.4259875150868893,2.535356485270365
Halloween II,92,"Horror,Thriller",2500000,25533818,6.6,1575,20.151,1981,10,30,8193257.340637062,83682056.70519632,75488799.36455926,3.123787790909554,7.392927770685693,0.0,2.673904464568282,3.2976550065408823
Mad Max 2,96,"Adventure,Action,Thriller,Fiction",2000000,24600832,7.4,2965,24.821,1981,12,24,6554605.87250965,80624378.94791166,74069773.07540202,3.1176521372085637,7.990041680609163,0.0,3.074742673261191,3.5456091227697297
Body Heat,113,"Crime,Thriller,Romance",9000000,24058838,7.1,429,20.752,1981,8,28,29495726.426293407,78848100.42027916,49352373.99398576,3.008771427355377,6.411745931994855,0.0,5.361010890650784,3.695382062500254
Friday the 13th Part 2,87,"Horror,Thriller",1250000,21722776,6.1,1270,36.66,1981,5,1,4096628.670318531,71192117.56840585,67095488.89808732,3.0873191587996436,7.157913798608719,0.0,2.278751101486535,3.130996014723724
Heavy Metal,90,"Animation,Fiction,Adventure,Fantasy,Music",9300000,20100000,6.5,542,15.517,1981,8,7,30478917.307169866,65873789.01872199,35394871.71155213,2.9455108013953155,6.528059421393645,0.0,2.5046558083018375,2.9945565077726997
Nighthawks,99,"Action,Crime,Thriller",5000000,19905359,6.4,320,10.417,1981,3,17,16386514.681274123,65235891.4979064,48849376.81663227,3.006514776111965,6.094471690481713,0.0,3.456653714095997,3.139410045172419
The Howling,91,Horror,1000000,17985893,6.5,581,28.164,1981,1,21,3277302.936254825,58945219.94006512,55667917.00381029,3.0369628398470785,6.583599622884212,0.0,2.587155057298171,3.0519293800073655
Outland,112,"Fiction,Action,Crime",16000000,17374595,6.4,461,8.411,1981,5,22,52436846.9800772,56941811.20973839,4504964.229661189,2.8004297574158286,6.386283220088823,0.0,5.943385571503152,3.7825246372519508
Scanners,103,"Fiction,Horror",4100000,14225876,6.7,904,12.1,1981,1,14,13436942.038644778,46622505.18559703,33185563.14695225,2.9353724109007326,6.961183162998053,0.0,4.1689633612888715,3.5163797337969145
Dragonslayer,108,"Fantasy,Adventure",18000000,14110013,6.5,209,11.442,1981,6,26,58991452.85258681,46242787.03549374,-12748665.817093074,2.716023285176087,5.766366859355085,0.0,6.1686279243719095,3.6627545172257707
The Postman Always Rings Twice,122,"Romance,Crime,Drama",12000000,12376625,6.6,390,12.963,1981,3,20,39327635.23505788,40561949.453424886,1234314.218367003,2.784625948955881,6.277193003837222,0.0,3.2805743994986036,3.085598338072927
Blow Out,108,"Crime,Drama,Mystery,Thriller",18000000,12000000,7.3,1083,12.85,1981,7,24,58991452.85258681,39327635.23505788,-19663817.61752893,2.681447935886695,7.174142804541512,0.0,6.1686279243719095,4.006054666200029
Gallipoli,112,"War,Drama,Adventure,History",3000000,11740000,7.1,352,7.37,1981,8,13,9831908.80876447,38475536.47163165,28643627.66286718,2.9144189494369646,6.25362086442607,0.0,5.943385571503152,3.7778563463415464
Thief,123,"Crime,Thriller,Action",5500000,11492915,7.2,470,9.406,1981,3,27,18025166.149401534,37665764.07562711,19640597.926225573,2.872433240722619,6.495883432954563,0.0,3.1566749875732114,3.1312479153125983
Wolfen,115,"Horror,Mystery",17000000,10626725,5.9,162,9.52,1981,7,24,55714149.91633204,34826997.04527255,-20887152.87105949,2.675284814736764,5.485337532036395,0.0,4.608678927952807,3.1923253186814917
Carbon Copy,92,"Comedy,Drama",6000000,9566593,5.8,36,6.098,1981,8,6,19663817.61752894,31352623.328854863,11688805.71132592,2.8348328728783985,4.269442197207437,0.0,2.673904464568282,2.4445448836635295
Pennies from Heaven,108,"Drama,Music,Romance",22000000,9171289,6.2,72,6.208,1981,12,11,72100664.59760615,30057092.368941583,-42043572.22866457,2.566359246579901,4.876792488618374,0.0,6.1686279243719095,3.4029449148925464
Prince of the City,167,"Drama,Thriller,Crime",8600000,8124257,7.2,109,5.78,1981,8,19,28184805.251791503,26625651.32098882,-1559153.9308026845,2.7710565221983163,5.327776753172155,0.0,0.7348865452944148,2.2084299551662214
The Amateur,112,"Action,Crime,Thriller",8338578,6892098,6.2,9,1.32,1981,12,11,27328046.163589887,22587493.012355994,-4740553.151233893,2.7555213141854242,3.2146638457597243,0.0,5.943385571503152,2.978392682862075
My Bloody Valentine,90,"Horror,Thriller,Mystery",2200000,5672031,6.5,329,7.192,1981,2,11,7210066.459760616,18588963.85082839,11378897.391067777,2.8333573565753247,6.129034820044779,0.0,2.5046558083018375,2.866761996230485
Mommie Dearest,128,Drama,19032261,5000000,6.4,161,8.859,1981,9,18,62374484.8588682,16386514.681274123,-45987970.17759407,2.5455357337554325,5.545408980884319,0.0,2.6477873237680716,2.6846830096019554
Final Exam,90,Horror,374000,3000000,4.9,76,5.607,1981,6,5,1225711.298159304,9831908.80876447,8606197.510605168,2.8201217983804616,4.731919165271453,0.0,2.5046558083018375,2.5141741929884383
The Legend of the Lone Ranger,98,"Action,Adventure,Romance,Western",18000000,2945600,4.8,31,4.412,1981,8,20,58991452.85258681,9653623.529032212,-49337829.323554605,2.5277162422650643,3.998655298516538,0.0,3.319094866997562,2.461366601944791
Under the Rainbow,98,Comedy,20000000,2297493,5.1,20,3.334,1981,7,31,65546058.725096494,7529580.554924906,-58016478.17017159,2.480955136603627,3.696809759408912,0.0,3.319094866997562,2.374214940752525
Heartbeeps,79,"Comedy,Romance,Family",10000000,2154696,3.8,15,1.294,1981,12,18,32773029.362548247,7061591.527536528,-25711437.83501172,2.650840562247207,3.2316711877291358,0.0,1.78942861376522,1.9179850909353908
This Is Elvis,110,"Drama,Music,Documentary",5000000,2028612,6.8,18,2.431,1981,4,3,16386514.681274123,6648376.064121773,-9738138.617152352,2.7309389763384546,3.8425420994067974,0.0,10.0,4.143370268936313
Sphinx,118,"Adventure,Mystery,Thriller",14000000,2022771,5.6,11,1.748,1981,2,11,45882241.10756756,6629233.337671108,-39253007.769896455,2.5809898967040663,3.293706500172288,0.0,3.9015741067015357,2.4440676258944727
Roar,102,"Adventure,Comedy,Thriller",17000000,2000000,5.9,84,7.359,1981,11,12,55714149.91633204,6554605.87250965,-49159544.04382239,2.5286677901078285,4.960363851557823,0.0,3.9587201747611567,2.861937954106702
Quella villa accanto al cimitero,87,Horror,786801,1845819,6.1,291,9.155,1981,8,14,2578585.2275482337,6049308.028494945,3470722.800946711,2.7954419534712285,5.9801641038935776,0.0,2.278751101486535,2.763589289712835
Lion of the Desert,173,"Action,History,War",35000000,1500000,7.3,126,10.254,1981,4,17,114705602.76891886,4915954.404382235,-109789648.36453664,2.181268888919894,5.4546498892156805,0.0,0.5545780451676068,2.0476242058257954
Goodbye Pork Pie,105,"Adventure,Comedy",300000,1400000,6.6,18,3.315,1981,2,5,983190.8808764472,4588224.110756757,3605033.2298803097,2.796090190900478,3.8186801806508592,0.0,4.699377407242841,2.828536944698545
Eyes of a Stranger,84,"Horror,Thriller",800000,1118634,6.0,45,3.039,1981,2,11,2621842.34900386,3666102.492794482,1044260.1437906222,2.7837048477499247,4.474902182315223,0.0,2.0790315906196586,2.3344096551712017
King of the Mountain,90,"Drama,Action",2000000,958000,5.6,11,1.608,1981,5,1,6554605.87250965,3139656.212932122,-3414949.659577528,2.7620050366529068,3.293706500172288,0.0,2.5046558083018375,2.140091836281758
Pelle Svanslös,81,"Romance,Family,Animation,Drama",48740,955401,6.3,28,2.641,1981,12,25,159735.74511306023,3131138.5026007965,2971402.757487736,2.7930307100142024,4.134659547847822,0.0,1.8997067729362336,2.206849257699565
Honky Tonk Freeway,107,"Action,Comedy",24000000,939423,5.0,12,3.109,1981,8,21,78655270.47011577,3078773.756285317,-75576496.71383046,2.38353634999484,3.2726706830644345,0.0,5.511429179343715,2.7919090531007473
Als Unku Edes Freundin war,72,"Drama,Family",865000,925000,7.6,4,0.979,1981,4,3,2834867.039860425,3031505.2160357144,196638.1761752893,2.7795931131312677,2.7292149094291163,0.0,1.4485637387248687,1.7393429403213132
The Hand,104,"Horror,Thriller",6500000,566736,6.0,109,6.956,1981,4,24,21302469.085656364,1857365.556881314,-19445103.52877505,2.682548317910857,5.182044413174269,0.0,4.411761987908632,3.0690886797484396
Dead & Buried,94,"Horror,Mystery",3000000,216166,6.4,203,8.496,1981,5,29,9831908.80876447,708441.4665184605,-9123467.34224601,2.7339743686620275,5.730691468736467,0.0,2.8622110171854453,2.831719213645985
Roadgames,101,"Horror,Mystery,Thriller",1750000,100000,6.5,114,8.206,1981,2,27,5735280.138445945,327730.2936254825,-5407549.844820463,2.752253158584754,5.281873469960501,0.0,3.773201659770226,2.9518320720788704
E.T. the Extra-Terrestrial,115,"Fiction,Adventure,Family,Fantasy",10500000,792965500,7.5,9704,33.785,1982,6,11,31283346.20970515,2362534692.271613,2331251346.061908,8.404427162137354,8.948487535804126,1.8544902341536889,4.608678927952807,5.954020965011994
Rocky III,99,Drama,17000000,270000000,6.8,3319,58.954,1982,5,28,50649227.19666545,804428902.535275,753779675.3386096,5.297462662753432,8.012605631126405,1.8544902341536889,3.456653714095997,4.655303060532381
Tootsie,116,"Comedy,Romance",21000000,177200000,7.2,1433,11.216,1982,12,17,62566692.4194103,527943709.3675952,465377016.9481849,4.503329618020746,7.386953893670347,1.8544902341536889,4.335979064537514,4.520188202595573
