,id,original_title,genres,release_date,vote_average,vote_count,popularity,budget,revenue,overview
711,196693,The Girl from 10th Avenue,Drama,1935-06-01,6.8,6,1.271,0,69,"When his fiancée Valentine dumps him, prominent lawyer Geoffrey Sherwood goes on a bender and winds up married to a stranger, Miriam Brady. They decide to give their marriage a chance. Their landlady, a one-time Floradora girl, offers to help Miriam become refined. Successful again, Geoffrey is approached (""if only we were free"") by Valentine. Miriam tells Valentine off in no uncertain terms. Geoffrey moves into his club where Valentine's husband tells him he is a fool to leave Miriam"
712,1024491,Bar-Mitzvah,Drama,1935-03-15,0.0,0,0.6,0,0,"A wife returns home after having been shipwrecked for several years and finds that her husband has remarried, and his new wife is a lazy, gold-digging tramp."
713,1018759,El Diablo del Mar,,1935-12-12,0.0,0,0.6,0,0,"A ship disappears without trace. What happened to the crew? Years later there's news of possible survivors and soon a rescue team is setting sail. Eventually they discover a young man living on a remote island and they ask him to leave with them. He refuses, so they abduct him. But he gets his revenge and guides them into the lair of the devil of the deep.  Alternate language version of THE SEA FIEND (1935)"
714,1013592,Sexton Blake and the Mademoiselle,Mystery,1935-10-01,0.0,0,0.6,0,0,"In this lively detective drama, Sexton Blake, private eye, must find out who stole the bonds of a prominent financier."
715,1013591,Sexton Blake and the Bearded Doctor,Mystery,1935-01-01,0.0,0,0.6,0,0,"In this mystery, ace detective Sexton Blake returns to solve the puzzling murder of a prominent violinist."
716,1009836,Wilderness Mail,,1935-09-07,0.0,0,0.6,0,0,"A Canadian Mountie tracks and captures the murderers of a fur trapper, but is later overpowered, tied to a tree, and left in the woods to die. The Mountie's brother finds him just before he dies, and sets out to recapture the killers."
717,1008056,The Old Camp Ground,,1935-03-15,0.0,0,0.6,0,0,"At a Union-Army Civil War prisoner-of-war camp, a group of Union soldiers and their Confederate prisoners engage in a singing contest, each trying to outdo the previous offering."
718,1008040,Bill and I Went Fishing,,1935-01-01,0.0,0,0.6,0,0,An Edgar A. Guest Poetic Gem featuring vocals by Al Shayne.
719,1007982,The Old Prospector Talks,,1935-04-25,0.0,0,0.6,10000,0,An Edgar A. Guest Poetic Gem.  It features the original song Take Me Home to the Mountain by Loesser & Herscher.
720,43881,San Francisco,"Drama,Music,Romance",1936-06-26,7,47,5.431,1300000,5273000,A beautiful singer and a battling priest try to reform a Barbary Coast saloon owner in the days before the big earthquake.
721,14588,After the Thin Man,"Comedy,Crime,Mystery",1936-12-25,7.3,115,9.101,673000,3165000,"Nick and Nora Charles investigate when Nora's cousin reports her disreputable husband is missing, and find themselves in a mystery involving the shady owners of a popular nightclub, a singer and her dark brother, the cousin's forsaken true love, and Nora's bombastic and controlling aunt."
722,37658,Anthony Adverse,"Action,Drama,Romance",1936-08-29,6.2,20,2.945,1192000,2750000,"Based on the novel by Hervey Allen, this expansive drama follows the many adventures of the eponymous hero, Anthony Adverse. Abandoned at a convent by his heartless nobleman father, Don Luis, Anthony is later mentored by his kind grandfather, John Bonnyfeather, and falls for the beautiful Angela Giuseppe. When circumstances separate Anthony and Angela and he embarks on a long journey, he must find his way back to her, no matter what the cost."
723,43884,The Charge of the Light Brigade,"Drama,Adventure,War",1936-10-22,6.6,54,5.265,1200000,2736000,"In 1853, as the British and Russian empires compete to gain and maintain their place in the dreadful Great Game of political intrigues and alliances whose greatest prize is the domination of India and the border territories, Major Geoffrey Vickers must endure several betrayals and misfortunes before he can achieve his revenge at the Balaclava Heights, on October 25, 1854, the most glorious day of the Crimean War."
724,20325,Swing Time,"Comedy,Music,Romance",1936-08-27,6.9,176,8.303,886000,2600000,"Lucky is tricked into missing his own wedding again and has to make $25,000 so her father allows him to marry Margaret. He and business partner Pop go to New York where they run into dancing instructor Penny. She and Lucky form a successful dance partnership, but romance is blighted by his old attachment to Margaret and hers for Ricky Romero."
725,112284,The Gorgeous Hussy,"Drama,History",1936-08-28,4.3,7,1.184,1119000,2019000,"It's the early nineteenth century Washington. Young adult Margaret O'Neal, Peggy to most that know her, is the daughter of Major William O'Neal, who is the innkeeper of the establishment where most out-of-town politicians and military men stay when they're in Washington. Peggy is pretty and politically aware. She is courted by several of those politicians and military men who all want to marry her, except for the one with who she is truly in love."
726,14615,Fury,"Crime,Drama,Thriller",1936-06-05,7.5,153,5.996,604000,1300000,"Joe, who owns a gas station along with his brothers and is about to marry Katherine, travels to the small town where she lives to visit her, but is wrongly mistaken for a wanted kidnapper and arrested."
727,43875,Mary of Scotland,"Drama,History,Romance",1936-07-28,6.7,24,3.157,864000,1276000,The recently widowed Mary Stuart returns to Scotland to reclaim her throne but is opposed by her half-brother and her own Scottish lords.
728,13562,My Man Godfrey,"Comedy,Romance,Drama",1936-09-02,7.6,259,9.122,575375,684200,"Fifth Avenue socialite Irene Bullock needs a ""forgotten man"" to win a scavenger hunt, and no one is more forgotten than Godfrey Park, who resides in a dump by the East River. Irene hires Godfrey as a servant for her riotously unhinged family, to the chagrin of her spoiled sister, Cornelia, who tries her best to get Godfrey fired. As Irene falls for her new butler, Godfrey turns the tables and teaches the frivolous Bullocks a lesson or two."
729,112618,The Bride Walks Out,"Comedy,Romance",1936-07-10,5.3,10,1.736,289000,670000,"Carolyn Martin is a fashion model who hastily marries her boyfriend, engineer Michael Martin. But part of the marriage arrangement requires that Carolyn quit her $50-per-week modeling job to be a full-time housewife; the couple will instead live on Michael’s $35-per-week job."
730,108348,A Woman Rebels,"Drama,Romance",1936-11-06,6.2,10,1.883,574000,583000,A Victorian-era woman struggles to break free of the moral codes established by society and enforced by her father.
731,81116,Big Brown Eyes,"Comedy,Mystery",1936-04-03,6.5,13,2.582,289696,359009,Sassy manicurist Eve Fallon is recruited as an even more brassy reporter and she helps police detective boyfriend Danny Barr break a jewel theft ring and solve the murder of a baby.
732,1018903,Hampas-Lupa,Drama,1936-12-25,0,0,0.6,0,0,
733,1018780,Man Hunters of the Caribbean,,1936-07-17,0,0,0.6,0,0,"Andre Roosevelt, a cousin to US President Theodore Roosevelt, could afford to trot the globe filming safari and hunting expeditions, and footage from his travels and exploration was combined with some crudely-staged shots,in Hollywood, of him rescuing a ship captain---his sailing-ship captain E. Erskine Loch---and a woman from a cultish native tribe. Andre and Captain Benson (Erskine Loch) go into a Caribbean jungle with Rita de le Vega, whose dad was an explorer who lost his life among the savage Penitentes tribe, but left behind information concerning a treasure. They encounter the tribe who put on a voodoo ceremony by hanging a tribesman on a cross as a sacrifice under the supervision of the voodoo witch doctor. Using underwater diving equipment, Andre & Company find the lost pirate treasure in a stone idol, and head for their yacht with the savages in hot pursuit."
734,1018776,Kelly of the Secret Service,,1936-07-22,0,0,0.6,0,0,"A secret apparatus that controls bombs by remote control is stolen from a laboratory. A federal agent is assigned to recover it, and his investigation leads him to a creepy mansion that is honeycombed with secret passage ways."
735,1018752,El Crimen de Media Noche,,1936-02-22,0,0,0.6,0,0,"A newly hired police chief vows to clean up a notoriously corrupt police department. When he is murdered, investigators find that there is no shortage of suspects, most of them being fellow cops.  Alternate language version of MIDNIGHT PHANTOM (1935)"
736,1014618,The End of the Road,"Comedy,Music",1936-10-01,0,0,0.6,0,0,Itinerant Scot performers: One daughter of a veteran trouper weds a ne'er do well and dies in childbirth.Her spendthrift man goes but later returns to bleed the old man out of remaining savings.Another daughter makes good as a singer.
737,1013832,F-Man,"Comedy,Crime",1936-05-02,0,0,0.6,0,0,"Johnny Dime has aspiration of becoming a ""G-Man"" , gums up the work of Rogan, an actual government agent is his pursuit of Public Enemy No. 1. Dimes ambitious goal is to improve his ""F"" rating to a ""G"". His sweetheart, Evelyn hopes to not get shot in the process."
738,1012779,Twelve Good Men,"Crime,Drama",1936-03-01,0,0,0.6,0,0,"A convicted killer escapes and seeks revenge on the jurors who put him in prison. He kills two of them and the rest end up hiding in the large home of another juror, an actor. It is the actor who saves them from the murderous fugitive."
739,1012127,The Development of English Railways,Documentary,1936-08-13,0,0,0.6,0,0,We learn of the beginnings of the English railways and how they were devised in the 1800s.
740,408,Snow White and the Seven Dwarfs,"Fantasy,Animation,Family",1937-12-08,7.1,6346,106.353,1488423,184925486,"A beautiful girl, Snow White, takes refuge in the forest in the house of seven dwarfs to hide from her stepmother, the wicked Queen. The Queen is jealous because she wants to be known as ""the fairest in the land,"" and Snow White's beauty surpasses her own."
741,14675,The Awful Truth,"Comedy,Drama,Romance",1937-10-20,7.3,216,7.138,600000,3000000,"Unfounded suspicions lead a married couple to begin divorce proceedings, whereupon they start undermining each other's attempts to find new romance."
742,43864,Stage Door,"Comedy,Drama",1937-10-07,7.0,69,5.705,952000,1762000,"The ups and downs in the lives and careers of a group of ambitious young actresses and show girls from disparate backgrounds brought together in a theatrical hostel. Centres particularly on the conflict and growing friendship between Terry Randall, a rich girl confident in her talent and ability to make it to the top on the stage, and Jean Maitland, a world weary and cynical trouper who has taken the hard knocks of the ruthless and over-populated world of the Broadway apprentice."
743,52029,Big City,Drama,1937-09-03,7.7,3,1.201,621000,1601000,"Anna and Joe are newly married, playful and deeply in love. Joe is scraping by as cab driver in New York City during a period of corruption, mob control and violence between cab companies."
